Country,Mean
Afghanistan,3.306142857142853
Chad,2.576642857142854
Cuba,2.0010714285714264
Estonia,1.632642857142855
Guinea,2.1650714285714265
Latvia,1.6112142857142824
Lithuania,1.6917857142857113
Mali,2.4940714285714263
Niger,2.2252142857142805
North Korea,2.9309999999999983
